DATE;VALUE
2019-09-17 06:20:00.000;0,6
2019-09-17 06:10:00.000;0,6
2019-09-17 06:00:00.000;0,6
2019-09-17 05:50:00.000;0,6
2019-09-17 05:40:00.000;0,6
2019-09-17 05:30:00.000;0,6
2019-09-17 05:20:00.000;0,6
2019-09-17 05:10:00.000;0,61
2019-09-17 05:00:00.000;0,6
2019-09-17 04:50:00.000;0,61
2019-09-17 04:40:00.000;0,6
2019-09-17 04:30:00.000;0,6
2019-09-17 04:20:00.000;0,6
2019-09-17 04:10:00.000;0,6
2019-09-17 04:00:00.000;0,6
2019-09-17 03:50:00.000;0,59
2019-09-17 03:40:00.000;0,59
2019-09-17 03:30:00.000;0,59
2019-09-17 03:20:00.000;0,59
2019-09-17 03:10:00.000;0,61
2019-09-17 03:00:00.000;0,61
2019-09-17 02:51:00.000;0,61
2019-09-17 02:41:00.000;0,62
2019-09-17 02:31:00.000;0,62
2019-09-17 02:21:00.000;0,62
2019-09-17 02:11:00.000;0,62
2019-09-17 02:01:00.000;0,62
2019-09-17 01:51:00.000;0,63
2019-09-17 01:41:00.000;0,63
2019-09-17 01:31:00.000;0,63
2019-09-17 01:21:00.000;0,63
2019-09-17 01:11:00.000;0,66
2019-09-17 01:01:00.000;0,67
2019-09-17 00:51:00.000;0,67
2019-09-17 00:41:00.000;0,66
2019-09-17 00:31:00.000;0,66
2019-09-17 00:21:00.000;0,68
2019-09-17 00:11:00.000;0,68
2019-09-17 00:01:00.000;0,68
2019-09-16 23:51:00.000;0,68
2019-09-16 23:41:00.000;0,67
2019-09-16 23:31:00.000;0,67
2019-09-16 23:21:00.000;0,66
2019-09-16 23:11:00.000;0,67
2019-09-16 23:01:00.000;0,68
2019-09-16 22:51:00.000;0,68
2019-09-16 22:41:00.000;0,67
2019-09-16 22:31:00.000;0,61
2019-09-16 22:21:00.000;0,61
2019-09-16 22:11:00.000;0,61
2019-09-16 21:51:00.000;0,6
2019-09-16 21:41:00.000;0,61
2019-09-16 21:31:00.000;0,61
2019-09-16 21:21:00.000;0,61
2019-09-16 21:11:00.000;0,61
2019-09-16 21:01:00.000;0,61
2019-09-16 20:51:00.000;0,61
2019-09-16 20:41:00.000;0,61
2019-09-16 20:31:00.000;0,61
2019-09-16 20:21:00.000;0,61
2019-09-16 20:10:00.000;0,61
2019-09-16 20:00:00.000;0,61
2019-09-16 19:50:00.000;0,61
2019-09-16 19:40:00.000;0,61
2019-09-16 19:30:00.000;0,61
2019-09-16 19:20:00.000;0,61
2019-09-16 19:10:00.000;0,61
2019-09-16 19:00:00.000;0,61
2019-09-16 18:50:00.000;0,61
2019-09-16 18:40:00.000;0,61
2019-09-16 18:29:00.000;0,61
2019-09-16 18:19:00.000;0,61
2019-09-16 18:08:00.000;0,61
2019-09-16 17:58:00.000;0,61
2019-09-16 17:48:00.000;0,61
2019-09-16 17:38:00.000;0,61
2019-09-16 17:28:00.000;0,61
2019-09-16 17:18:00.000;0,61
2019-09-16 17:08:00.000;0,61
2019-09-16 16:58:00.000;0,61
2019-09-16 16:48:00.000;0,61
2019-09-16 16:38:00.000;0,61
2019-09-16 16:28:00.000;0,61
2019-09-16 16:18:00.000;0,61
2019-09-16 16:08:00.000;0,61
2019-09-16 15:58:00.000;0,6
2019-09-16 15:48:00.000;0,6
2019-09-16 15:38:00.000;0,6
2019-09-16 15:28:00.000;0,6
2019-09-16 15:18:00.000;0,59
2019-09-16 15:08:00.000;0,59
2019-09-16 14:58:00.000;0,59
2019-09-16 14:48:00.000;0,59
2019-09-16 14:38:00.000;0,58
